"Event id";"Date and time";IP;"Camp. ID";Offer;"Flow ID";"Landing page";"Affiliate Network";Source;"Country flag";State/region;City;"OS Logo";Browser;"Connection type";"Device type";"Device model";Bot;"UC (campaign)";"Event type";X-Requested-With;Referrer;"Search engine";"External ID";"Mobile operator";ISP;Country;Language;"User agent";"OS Logo";"OS version";Revenue
019cd2a6-be06-7205-a86a-9a3e538fcb54;"2026-03-09 12:51:08";101.115.11.122;92;;284;;;Facebook.com;AU;"New South Wales";Sydney;Android;"Chrome Mobile";Cellular;"Mobile phone";;;1;click;;;;NhZW0CMQZ_3uRs06_P86KGaNzTipgYqVHi8BNKSzzucTqF4fnjEJrk4VUBTZah-9NoaPVwfsOPE_aem_OC3n_aQiWK1cEqykJ-lf2Q;"Vodafone Australia";"Vodafone Australia Pty Limited";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd2a6-8059-7378-9bc3-4f3d55d8ad71;"2026-03-09 12:50:47";49.192.242.247;92;;284;;;Facebook.com;AU;"Western Australia";Mandurah;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsLD7xpzcnRjBmFwcF9pZA8NTY3MDY3MzQzMzUyNDI3AAP7kQd2sw-aoBmWVvSFHOR7Cq18DaRORBeHGJLIkbqokvM3fJOO3AhceZ_aem_4H9iwYYr7TAApnV0sCB97A;Unknown;"SingTel Optus Pty Ltd";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd2a6-0555-72e4-900f-cca12ee3635a;"2026-03-09 12:50:07";60.241.163.76;92;;284;;;Facebook.com;AU;"New South Wales";Ryde;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;NhZW0CMQZUysVWbOX8UUSZT3vbVKhBPQvcbDY8_RZ83ygphNuSCqHZP-Vzb783KpfUOCd9iNLII_aem_KPIl2S0f_DWq46ZelkqxmQ;Unknown;"TPG Internet Pty Ltd.";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd2a5-c7ee-7130-89f2-5abb000d6a53;"2026-03-09 12:50:04";203.164.36.196;92;;284;;;Facebook.com;AU;"New South Wales";Chatswood;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeL8RAV1KNhcJBYmt3U3vJ_48_vGD4hLQpy4fJl0FW8igkMWyFBgO3nzPtFsm9_aem_jQKMfq-bcH8sb7HNtFupBQ;Unknown;"@Home Network Australia";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd2a5-1065-715f-8633-68ae92658ee8;"2026-03-09 12:49:12";121.200.6.206;92;;284;;;Facebook.com;AU;Victoria;Melbourne;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsbKXCpzcnRjBmFwcF9pZA8MjU0NTUzODIyMzk3MTE3AAA_A_KbJEqkL73zAXl1lXr9QU0_I3u9Rg0FMC7TM-1jD3IktXWunBkRIb_aem__Z2AWFQPuOFWFaRHjR9JWA;Unknown;"Aussie Broadband";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd2a4-95cf-708a-b1aa-3bc76b554b63;"2026-03-09 12:48:46";106.69.130.29;92;;284;;;Facebook.com;AU;Queensland;Chowey;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeTGIxb_6rjARYuXMNa4j0zS3lhszXOMREGM2rktJyxPq8NEib2prClDPLg3mU_aem_dc6cUXeCq-X_BI-njKMugQ;Unknown;"iiNET Limited";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd2a3-ddbc-708a-a77b-74878b58a259;"2026-03-09 12:47:58";110.175.39.97;92;;284;;;Facebook.com;AU;"New South Wales";Sydney;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsa8x5pzcnRjBmFwcF9pZA8MjU0NTUzODIyMzk3MTE3AA7R23hdHkwBt3gAOIy61FBaC-T4_QCZTVohOwsxgGwSdlaBC5uNGgGes-_aem_rKXmgNkWKr1D3ZXU39LGmw;Unknown;"TPG Internet Pty Ltd.";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd2a3-ddbb-73db-8439-35f1706784a0;"2026-03-09 12:47:49";58.167.185.101;92;;284;;;Facebook.com;AU;"New South Wales";Sydney;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsbKXCpzcnRjBmFwcF9pZA8MjU0NTUzODIyMzk3MTE3AA9F_i7gZViUlTHKZ-0k5u4fhQt8oDVVvvHW0IVgB-RUfGcHiDYOBy5fKY_aem_WU9lk-shZuSCldO13ovE8g;Unknown;"Telstra Limited";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36";Android;10;0
019cd2a3-267f-7095-863c-ff03653f3627;"2026-03-09 12:47:04";149.167.31.164;92;;284;;;Facebook.com;AU;"New South Wales";Sydney;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsLD7xpzcnRjBmFwcF9pZA8OTY2MjQyMjIzMzk3MTE3AAxz6O7PX2ia1LN0JHdUwJPMw5vtRAo-eajU0WIDl1K7Marm2DbyoZwaEs_aem_IYcVFhOCt7LkSq9YBBFNMA;Unknown;"Telstra Limited";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd2a2-ac22-717c-9d1c-171f0cd9b3b7;"2026-03-09 12:46:40";124.170.72.75;92;;284;;;Facebook.com;AU;Queensland;Townsville;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsbcXYpzcnRjBmFwcF9pZA8OTY2MjQyMjIzMzk3MTE3AAbJvDOfShHEXJwnRQS0Y1_dJ5A5m9fRjylvyodRfr0rEYfHT31oC-fgwR_aem__TTbkjrxsEQarJm4WxboJA;Unknown;"iiNET Limited";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
